postcode,gemeente,lat,lon
1012GT,Amsterdam,52.37512649,4.89814673
1012GV,Amsterdam,52.37478315,4.89770996
1012GW,Amsterdam,52.3744389,4.89705293
1012GX,Amsterdam,52.37448134,4.89862376
1012GZ,Amsterdam,52.37460783,4.8987839
1012HA,Amsterdam,52.37397259,4.89730773
1012HB,Amsterdam,52.37384714,4.89739722
1012HC,Amsterdam,52.37391785,4.89729215
1012HD,Amsterdam,52.37380245,4.8971888
1012HE,Amsterdam,52.37379813,4.89641388
1012HG,Amsterdam,52.37324496,4.89523055
1012HH,Amsterdam,52.37272915,4.89438457
1012HJ,Amsterdam,52.37196256,4.8948251
1012HK,Amsterdam,52.37205589,4.89458295
1012HL,Amsterdam,52.37217897,4.89392079
1012HM,Amsterdam,52.37151354,4.89384008
1012HN,Amsterdam,52.37073323,4.89423054
1012HP,Amsterdam,52.37023643,4.89363403
1012HR,Amsterdam,52.36995837,4.89376928
1012HS,Amsterdam,52.36976065,4.89377148
1012HT,Amsterdam,52.37615715,4.89961861
1012HV,Amsterdam,52.37576768,4.89888862
1012HW,Amsterdam,52.37540606,4.89837861
1012HX,Amsterdam,52.37508208,4.89792524
1012HZ,Amsterdam,52.374782,4.89743095
1012JA,Amsterdam,52.37435716,4.89684825
1012JB,Amsterdam,52.37394131,4.89626545
1012JC,Amsterdam,52.3735704,4.89568216
1012JD,Amsterdam,52.3762463,4.8994414
1012JE,Amsterdam,52.37582986,4.89871171
1012JG,Amsterdam,52.37542307,4.89814346
1012JH,Amsterdam,52.37514276,4.89773536
1012JJ,Amsterdam,52.37444599,4.89663642
1012JK,Amsterdam,52.3736508,4.8955638
1012JL,Amsterdam,52.37247683,4.89422585
1012JM,Amsterdam,52.37233273,4.89415403
1012JN,Amsterdam,52.37519749,4.89766524
1012JP,Amsterdam,52.37525452,4.89780548
1012JS,Amsterdam,52.37329259,4.8937175
1012JT,Amsterdam,52.37522264,4.89738388
1012JV,Amsterdam,52.37532011,4.89623105
1012JW,Amsterdam,52.3746032,4.8954945
1012JZ,Amsterdam,52.3712101,4.89694945
1012KB,Amsterdam,52.37230857,4.89267118
1012KC,Amsterdam,52.37233478,4.89402982
1012KD,Amsterdam,52.37125922,4.89397087
1012KE,Amsterdam,52.37193335,4.89346665
1012KG,Amsterdam,52.37232111,4.89352273
1012KH,Amsterdam,52.37136859,4.89323723
1012KJ,Amsterdam,52.37038743,4.89320652
1012KK,Amsterdam,52.37246331,4.89313935
1012KL,Amsterdam,52.37078128,4.89306924
1012KM,Amsterdam,52.37005756,4.89291391
1012KN,Amsterdam,52.36968465,4.89278853
1012KP,Amsterdam,52.36953174,4.89276087
1012KR,Amsterdam,52.3723985,4.89268486
1012KS,Amsterdam,52.37185896,4.89261745
1012KT,Amsterdam,52.37161846,4.8921095
1012KV,Amsterdam,52.37121132,4.89249252
1012KW,Amsterdam,52.37079564,4.89195385
1012KX,Amsterdam,52.36993322,4.89205158
1012KZ,Amsterdam,52.36967228,4.89198108
1012LA,Amsterdam,52.36917718,4.89179572
1012LB,Amsterdam,52.3688806,4.89179904
1012LC,Amsterdam,52.36862065,4.89196345
1012LD,Amsterdam,52.36836962,4.89211308
1012LE,Amsterdam,52.36797295,4.89182385
1012LG,Amsterdam,52.37714446,4.89803846
1012LH,Amsterdam,52.37644581,4.89810539
1012LJ,Amsterdam,52.37641635,4.89708982
1012LK,Amsterdam,52.3760727,4.89657962
1012LL,Amsterdam,52.37554821,4.8958071
1012LM,Amsterdam,52.37500647,4.89521101
1012LN,Amsterdam,52.3743595,4.89438287
1012LP,Amsterdam,52.37407596,4.89406122
1012LR,Amsterdam,52.37678555,4.89726197
1012LS,Amsterdam,52.37638296,4.89657305
1012LT,Amsterdam,52.37565068,4.89568681
1012LV,Amsterdam,52.37508638,4.89497516
1012LW,Amsterdam,52.37444287,4.89450072
1012LX,Amsterdam,52.37409643,4.89398107
1012LZ,Amsterdam,52.37889644,4.89480069
1012MA,Amsterdam,52.37825567,4.89556879
1012MB,Amsterdam,52.3773254,4.89740287
1012MC,Amsterdam,52.37705189,4.8967697
1012MD,Amsterdam,52.37641294,4.89626746
1012ME,Amsterdam,52.37568052,4.89520353
1012MG,Amsterdam,52.37524736,4.89478246
1012MH,Amsterdam,52.37446993,4.8937044
1012MJ,Amsterdam,52.37764456,4.89634194
